"","category_name","group_name","total_members","city","created"
"124","Arts & Culture","Drawing New York",3670,"New York City",2013-07-03
"125","Arts & Culture","Drink & Draw in The Lower East Side",124,"New York City",2017-08-18
"126","Arts & Culture","Drink and Draw Bay",1300,"San Francisco",2014-08-08
"127","Arts & Culture","Drinking About Museums New York City",398,"New York City",2015-07-15
"128","Arts & Culture","Drop-in Figure Drawing at Lillstreet",79,"Chicago",2017-10-12
"129","Arts & Culture","Early American Traditional and Folk Art Meetup",9,"New York City",2015-09-16
"130","Arts & Culture","East Bay  Sketchers",151,"San Francisco",2012-02-26
"131","Arts & Culture","Eclectic Zone - Pop-Up Gallery Events",812,"New York City",2017-05-22
"132","Arts & Culture","EFT-Tapping Group NYC for Performing Artists",110,"New York City",2014-03-22
"133","Arts & Culture","Empower Your Creativity",3550,"New York City",2016-10-30
"134","Arts & Culture","Entertainment Industry Professionals Network",1876,"New York City",2009-09-05
"135","Arts & Culture","Entertainment Professional/Performer HAPPY HOUR Network FREE",3469,"New York City",2015-04-26
"136","Arts & Culture","Ess Ef Eff - Art Show",168,"New York City",2016-10-08
"137","Arts & Culture","Experiential Figure Drawing at the Flat Iron Arts Building",445,"Chicago",2015-12-29
"138","Arts & Culture","Express Yourself - NYC",2195,"New York City",2016-02-08
"139","Arts & Culture","Fashion Files: Fashion Drawing and Exploration",62,"New York City",2016-07-03
"140","Arts & Culture","Female Artists of Chicago",168,"Chicago",2017-07-10
"141","Arts & Culture","Female Artists of New York",142,"New York City",2017-07-01
"142","Arts & Culture","Female Artists of San Francisco",1,"San Francisco",2011-02-22
"143","Arts & Culture","Figure Drawing and Ceramic Painting",1,"San Francisco",2017-03-22
"144","Arts & Culture","Figure Drawing Chicago",2246,"Chicago",2011-08-22
"145","Arts & Culture","Figure Drawing NYC--Summer Sketch Group and Draw-mania!",1764,"New York City",2009-03-12
"146","Arts & Culture","Figure Drawing on the Lower East Side",37,"New York City",2017-10-15
"147","Arts & Culture","Find Your Authentic Voice - For Actors, Speakers & Singers",221,"New York City",2013-12-30
"148","Arts & Culture","FREE Film and Theatre University New York City, NY",317,"New York City",2012-09-27
"149","Arts & Culture","Free Sample Improv Class",33,"New York City",2017-02-08
"150","Arts & Culture","Friday Figure Drawing @ Martin's Soup Kitchen",86,"San Francisco",2017-09-19
"151","Arts & Culture","Friends of Frederick Douglass Creative Arts Center",11,"New York City",2016-03-14
"152","Arts & Culture","Gareb Shamus",20,"New York City",2016-10-09
"153","Arts & Culture","Gen XX Media Makers",3,"San Francisco",2016-11-09
"154","Arts & Culture","Glass Painting Classes Chicago and Surround Burbs",12,"Chicago",2017-07-12
"155","Arts & Culture","Global Citizenship in New York City",97,"New York City",2015-09-29
"156","Arts & Culture","Go See Art With Some People You Dont Know Yet",1,"Chicago",2016-04-16
"157","Arts & Culture","Goddess Painting Class",210,"San Francisco",2016-04-19
"158","Arts & Culture","Gotham Gallery Goers (Art Tours With Talks By Experts)",1,"New York City",2017-01-16
"159","Arts & Culture","Grand International Culture, Beauty and Travel Group",1,"New York City",2016-02-28
"160","Arts & Culture","Gray Area: Creative Code Meetup",1561,"San Francisco",2012-07-27
"161","Arts & Culture","Happy Hour Artists: Broadway Musical Medley Project",235,"New York City",2016-05-02
"162","Arts & Culture","Hardcore Comedy Entertainment",74,"New York City",2017-03-15
"163","Arts & Culture","I love ART Museums!",1953,"New York City",2016-10-13
"164","Arts & Culture","ICRAVE Unreal",92,"New York City",2016-06-11
"165","Arts & Culture","IFAX Meetup Group",1,"Chicago",2015-01-19
"166","Arts & Culture","Imaginative Illustrators Of NYC",238,"New York City",2015-07-15
"167","Arts & Culture","IMPROV 4 ALL",805,"New York City",2014-03-25
"168","Arts & Culture","Improv and Networking",83,"New York City",2017-08-14
"169","Arts & Culture","Improv Book Club",25,"San Francisco",2014-01-04
"170","Arts & Culture","Improv Classes & Workshops",175,"San Francisco",2013-04-09
"171","Arts & Culture","Improv for Actors (SF)",1,"San Francisco",2015-03-26
"172","Arts & Culture","Improv in the Park",651,"New York City",2013-05-25
"173","Arts & Culture","InLivingColor Live Art Party",108,"New York City",2017-10-11
"174","Arts & Culture","International friends in New York city! (2000+)",1430,"New York City",2012-09-22
"175","Arts & Culture","International friends in San Francisco (1700+)",1205,"San Francisco",2015-05-05
"176","Arts & Culture","Jewish Cultural Events",214,"New York City",2017-02-08
"177","Arts & Culture","La Maison d'Art",804,"New York City",2014-11-06
"178","Arts & Culture","Layer Studio",31,"San Francisco",2016-02-08
"179","Arts & Culture","Left Coast Theatre Co. Playwriting Workshop",90,"San Francisco",2012-04-17
"180","Arts & Culture","Let's Make Comics!",1,"Chicago",2017-09-18
"181","Arts & Culture","Lets meet and see good art",1034,"New York City",2015-06-24
"182","Arts & Culture","Lifestyle",1,"Chicago",2016-06-16
"183","Arts & Culture","Live Comic Art Drawing",63,"New York City",2017-09-24
"184","Arts & Culture","Live Figure Sculpting from Models in Clay",163,"San Francisco",2017-04-17
"185","Arts & Culture","Lyrical Opposition: Hip-Hop, Spoken Word Poetry & Open Mics",948,"San Francisco",2016-02-06
"186","Arts & Culture","Made by Italians - art, design, food, culture in NYC",423,"New York City",2014-10-23
"187","Arts & Culture","Make Art Be Happy Creative Circle Adventures in NYC",156,"New York City",2016-12-28
"188","Arts & Culture","MANHATTAN THEATRE SOURCE Community Meetup",65,"New York City",2014-03-17
"189","Arts & Culture","Marc Deppe artist talk",1,"New York City",2016-09-15
"190","Arts & Culture","MEET & GO to FRANCE (US)",1,"New York City",2017-07-07
"191","Arts & Culture","Men's Naked Drawing Group NY",1,"New York City",2014-12-04
"192","Arts & Culture","Mercury Hamlet",1,"Chicago",2017-05-17
"193","Arts & Culture","Midday Meetups And Activities",400,"New York City",2016-03-15
"194","Arts & Culture","ModVation #diversityventures",238,"San Francisco",2017-04-20
"195","Arts & Culture","Mon/Thur Night Improv Classes",772,"San Francisco",2012-05-25
"196","Arts & Culture","Montauk Group Meetup",1,"New York City",2017-02-06
"197","Arts & Culture","MONTHLY ART STOMP",66,"San Francisco",2014-04-20
"198","Arts & Culture","mrmur.",29,"New York City",2017-07-02
"199","Arts & Culture","Music Industry Professionals Meetup",1026,"New York City",2015-04-07
"200","Arts & Culture","Music, Theater, and Dance Deals in NYC",122,"New York City",2017-02-22
"201","Arts & Culture","Naughty Night",104,"Chicago",2017-07-06
"202","Arts & Culture","New York Acting Meetup",891,"New York City",2016-08-06
"203","Arts & Culture","New York Actors Gym",642,"New York City",2015-05-08
"204","Arts & Culture","New York Ancient Art History Meetup",1,"New York City",2017-06-05
"205","Arts & Culture","New York Art Meetup",1,"New York City",2016-05-24
"206","Arts & Culture","New York Artists",196,"New York City",2016-08-29
"207","Arts & Culture","New York Asian Architecture Meetup",1,"New York City",2016-10-13
"208","Arts & Culture","New York Asian Art, Asian Music, and Asian Hip Hop Meetup!",1,"New York City",2014-01-27
"209","Arts & Culture","New York Beginners Acting Training Meetup",41,"New York City",2017-08-22
"210","Arts & Culture","New York Broadway Shows Meetup",242,"New York City",2015-03-14
"211","Arts & Culture","New York City Actors",62,"New York City",2017-08-02
"212","Arts & Culture","New York City Bergdorf girls",40,"New York City",2015-12-21
"213","Arts & Culture","New York City Drawing & Writing",624,"New York City",2013-06-05
"214","Arts & Culture","New York City Figure Drawing!",341,"New York City",2014-07-30
"215","Arts & Culture","New York Collage Meetup",1,"New York City",2017-06-20
"216","Arts & Culture","New York Comedy Top Picks!",319,"New York City",2015-08-11
"217","Arts & Culture","New York Creative Socials",10625,"New York City",2007-04-16
"218","Arts & Culture","New York Digitisation Cultural Heritage",36,"New York City",2017-05-30
"219","Arts & Culture","New York Fashion Drawing Meetup",253,"New York City",2015-06-08
"220","Arts & Culture","New York Fine Arts Meetup",129,"New York City",2017-03-01
"221","Arts & Culture","New York Fun Times Meetup",25,"New York City",2017-07-27
"222","Arts & Culture","New York Gay Artists",147,"New York City",2016-10-21
"223","Arts & Culture","New York Graffiti Meetup",81,"New York City",2017-09-05
"224","Arts & Culture","New York Live Art Meetup",112,"New York City",2013-03-16
"225","Arts & Culture","New York Metaphysics Meetup",77,"New York City",2016-09-26
"226","Arts & Culture","NEW YORK MUSEUM CLUB",1,"New York City",2006-08-03
"227","Arts & Culture","New York Museums, Dinner, Drinks, Meet New Friends 45+",398,"New York City",2016-12-04
"228","Arts & Culture","New York Oyster Lovers",766,"New York City",2010-02-10
"229","Arts & Culture","New York Shakespeare Reading Group",1137,"New York City",2007-05-06
"230","Arts & Culture","New York Theater Meetup/Broadway Meetup , Fun Events & Shows",439,"New York City",2016-01-11
"231","Arts & Culture","New York Theater Professionals Happy Hour",503,"New York City",2014-03-11
"232","Arts & Culture","New York Theater Under $25",1235,"New York City",2014-09-27
"233","Arts & Culture","New York Upcoming Renaissance Artists",8,"New York City",2017-09-20
"234","Arts & Culture","New York with Class",1,"New York City",2015-09-28
"235","Arts & Culture","New York Writers, Agents, Editors, Producers, Actors Meetup",75,"New York City",2015-10-22
"236","Arts & Culture","New York: Broadway, Museum and Culture lovers",960,"New York City",2016-04-13
"237","Arts & Culture","New Yorker Magazine Lovers in SF",262,"San Francisco",2012-05-30
"238","Arts & Culture","Next Gen Art Collecting",19,"Chicago",2017-10-13
"239","Arts & Culture","NOVA 3D Artist Community",1,"San Francisco",2017-03-21
"240","Arts & Culture","Now is Better than Never: Creativity for 40yo Nothings",103,"New York City",2017-10-05
"241","Arts & Culture","NY Comic Book & Graphic Novel Creators",42,"New York City",2017-06-27
"242","Arts & Culture","NY Steampunk - Artists & Enthusiasts",2175,"New York City",2008-12-05
"243","Arts & Culture","NY World's Fair! COME BACK TO THE FAIR!",49,"New York City",2011-01-24
"244","Arts & Culture","NYC  Walking Tour Osanpo Club by EJ",78,"New York City",2017-09-04
"245","Arts & Culture","NYC Acting Classes",1,"New York City",2011-08-19
"246","Arts & Culture","NYC Art Meetup",5124,"New York City",2015-05-07
"247","Arts & Culture","NYC Artists Meetup: Learning from Josef and Annie Albers",31,"New York City",2017-05-29
"248","Arts & Culture","NYC Contemporary Art Lovers, Promoters & Opportunity Seekers",2175,"New York City",2011-03-07
"249","Arts & Culture","NYC Drawing the Dance Workshop Meet Up",23,"New York City",2016-06-09
"250","Arts & Culture","NYC Improvisation Class & Drinks - Find Your Joy",69,"New York City",2014-04-15
"251","Arts & Culture","NYC Industry - Acting, Modeling, Musicians, Writers, Arts",1988,"New York City",2017-03-12
"252","Arts & Culture","NYC Ladies Destressing with Coloring & Wine",1,"New York City",2016-05-28
"253","Arts & Culture","NYC Mentalism Meetup",1,"New York City",2007-10-05
"254","Arts & Culture","NYC Nightlife, Film and Entertainment Meet Up",891,"New York City",2016-03-08
"255","Arts & Culture","NYC Painting Class and Event - Bring Home Your Own Painting",1,"New York City",2015-01-13
"256","Arts & Culture","NYC Scene Study",1,"New York City",2013-02-12
"257","Arts & Culture","NYC Storyteller & Animators Mental Asylum",26,"New York City",2016-10-11
"258","Arts & Culture","NYC Theatre Makers",1,"New York City",2017-09-07
"259","Arts & Culture","NYC Theatre on a Budget",1035,"New York City",2014-12-19
"260","Arts & Culture","NYC Visionary Art Group",161,"New York City",2016-07-19
"261","Arts & Culture","NYC/NJ Walks: Explore Architecture, Art, History & Nature",4302,"New York City",2014-03-10
"262","Arts & Culture","Oil Painting Techniques",68,"New York City",2017-04-18
"263","Arts & Culture","Orgasmic Creativity SF Bay Area",172,"San Francisco",2016-07-20
"264","Arts & Culture","Outdoor Plein Air Painting Classes New York and Central Park",246,"New York City",2010-07-11
"265","Arts & Culture","Paint Night at Easyl HQ",1,"San Francisco",2016-10-05
"266","Arts & Culture","Paint Night at Easyl!",257,"San Francisco",2016-10-05
"267","Arts & Culture","Paint Your Breakthrough",785,"New York City",2015-03-12
"268","Arts & Culture","Performance Artists of N.Y.",44,"New York City",2017-07-05
"269","Arts & Culture","Perks of Being a Theatre Lover",347,"New York City",2010-11-04
"270","Arts & Culture","PLAYcationers",38,"Chicago",2017-09-03
"271","Arts & Culture","Plein-air painters  in Central Park",248,"New York City",2010-05-21
"272","Arts & Culture","PoC Theatre Geeks in New York under 40",29,"New York City",2016-05-13
"273","Arts & Culture","Poets Wanted",828,"San Francisco",2007-11-26
"274","Arts & Culture","Portrait, Clothed Figure and Creative Drawing in SF Cafes",432,"San Francisco",2013-09-01
"275","Arts & Culture","Printmaking Workshops at CCSF Continuing Education",50,"San Francisco",2017-09-15
"276","Arts & Culture","Quick Draw SF and Bar Sketching meetup",1046,"San Francisco",2014-12-27
"277","Arts & Culture","RAIM (Rogers park Artist Inspired Meetup)",43,"Chicago",2017-08-10
"278","Arts & Culture","Rooted Self Expression Center",627,"Chicago",2014-08-30
"279","Arts & Culture","Roscoe Village Open Studio Figure Drawing",108,"Chicago",2017-01-26
"280","Arts & Culture","Ruler and Compass Design Meetup",37,"New York City",2017-07-07
"281","Arts & Culture","Salesforce for Museums Meetup!",36,"New York City",2016-06-10
"282","Arts & Culture","Salon for New Plays by Friends of Crowded Fire",27,"San Francisco",2014-06-10
"283","Arts & Culture","Salon NYC",328,"New York City",2016-09-11
"284","Arts & Culture","San Francisco - Painting Class - Paint Party - Join Us!",359,"San Francisco",2016-06-23
"285","Arts & Culture","San Francisco Artists Meetup",69,"San Francisco",2017-05-08
"286","Arts & Culture","San Francisco Bitcoin and Art Meetup",90,"San Francisco",2017-10-07
"287","Arts & Culture","San Francisco Fine Art & Technology",269,"San Francisco",2014-10-03
"288","Arts & Culture","San Francisco Free Art and Music Events",700,"San Francisco",2017-06-01
"289","Arts & Culture","San Francisco Game Artists",446,"San Francisco",2013-08-19
"290","Arts & Culture","San Francisco Improv Drop In Meetup",38,"San Francisco",2017-07-24
"291","Arts & Culture","San Francisco Magicians Meetup",17,"San Francisco",2017-06-15
"292","Arts & Culture","San Francisco Modern Calligraphy",370,"San Francisco",2014-01-28
"293","Arts & Culture","San Francisco Museum Meetup",106,"San Francisco",2017-06-15
"294","Arts & Culture","San Francisco Poetry Open Mic",295,"San Francisco",2017-06-01
"295","Arts & Culture","San Francisco Social Art Making",1570,"San Francisco",2015-10-25
"296","Arts & Culture","San Francisco Theater Meetup",1,"San Francisco",2015-03-22
"297","Arts & Culture","San Francisco Zbrush Meetup",29,"San Francisco",2015-10-19
"298","Arts & Culture","Saturday Comics Class",222,"San Francisco",2016-08-29
"299","Arts & Culture","Senior Artist",30,"San Francisco",2016-10-14
"300","Arts & Culture","SF-SOMA Drawing For Beginners",286,"San Francisco",2017-05-18
"301","Arts & Culture","SF Art Adventures",70,"San Francisco",2014-06-12
"302","Arts & Culture","SF Art Modeling Trade: Free Figure Drawing Group",500,"San Francisco",2015-03-02
"303","Arts & Culture","SF Arts & Outdoors",260,"San Francisco",2013-08-08
"304","Arts & Culture","SF Arts + Culture",6952,"San Francisco",2006-12-25
"305","Arts & Culture","SF Bay Area Storytelling Meetup",515,"San Francisco",2014-10-22
"306","Arts & Culture","SF Free Comedy Nights!",211,"San Francisco",2016-01-30
"307","Arts & Culture","SF Illustrations",384,"San Francisco",2017-06-01
"308","Arts & Culture","SF Improv",137,"San Francisco",2017-09-15
"309","Arts & Culture","SF Sketchers",1514,"San Francisco",2012-02-15
"310","Arts & Culture","Shakespeare Lovers' Meetup Group",119,"Chicago",2014-01-28
"311","Arts & Culture","Shamanic Spiritual Art Seminar",20,"Chicago",2017-06-13
"312","Arts & Culture","Sketch-up (Chicago Sketchbook Group)",573,"Chicago",2017-04-02
"313","Arts & Culture","SketchCrawl NYC",490,"New York City",2017-07-24
"314","Arts & Culture","Sleep With Me Podcast Listeners",11,"San Francisco",2016-11-06
"315","Arts & Culture","SoulFullPlay Art Journaling Meetup",66,"San Francisco",2015-03-17
"316","Arts & Culture","Sounds for your ears",1,"New York City",2015-09-02
"317","Arts & Culture","Stand-Up and the City",32,"New York City",2017-08-30
"318","Arts & Culture","Stand & Deliver Performing Arts - Improv Meetup Group",527,"Chicago",2014-08-26
"319","Arts & Culture","Stargate & Sci-Fi Fans",44,"San Francisco",2016-09-09
"320","Arts & Culture","Storytellers of New York",2556,"New York City",2012-10-01
"321","Arts & Culture","SuperSoul Saturday / SoulCollage Art Therapy Groups, 2017",34,"San Francisco",2017-04-25
"322","Arts & Culture","Support for Creatives with ADHD",81,"New York City",2017-09-26
"323","Arts & Culture","The Artbeat",909,"New York City",2011-05-16
"324","Arts & Culture","The Artist's Way  - SanFran",749,"San Francisco",2014-11-19
"325","Arts & Culture","THE ARTISTS FORUM",654,"New York City",2016-03-13
"326","Arts & Culture","The Artists Hut",31,"Chicago",2017-06-27
"327","Arts & Culture","The Broadway Genius Club",4697,"New York City",2007-01-31
"328","Arts & Culture","the Carl Velas ACTING STUDIO",313,"New York City",2008-10-11
"329","Arts & Culture","The Chelsea Drawing & Painting Workshops",1,"New York City",2011-12-27
"330","Arts & Culture","The Chicago Museum Meetup Group",1472,"Chicago",2008-01-27
"331","Arts & Culture","The Devoted Type: Fonts, Lettering, and Calligraphy",269,"Chicago",2015-04-08
"332","Arts & Culture","The Doodlenauts",124,"San Francisco",2014-03-21
"333","Arts & Culture","The Drinking & Writing Theater Experience",236,"Chicago",2017-07-31
"334","Arts & Culture","The Feminine Antidote",157,"San Francisco",2017-03-06
"335","Arts & Culture","The Inspired Word NYC Open Mic - Poetry, Music, Comedy",1015,"New York City",2010-07-07
"336","Arts & Culture","The Mixer 2",1,"New York City",2017-10-08
"337","Arts & Culture","The Montauk Art Theatre",1,"New York City",2017-02-06
"338","Arts & Culture","The Mural Project Meetup",95,"New York City",2007-04-30
"339","Arts & Culture","The Nature Journal Club",280,"San Francisco",2012-11-03
"340","Arts & Culture","The New New: Mixed Media Mondays at Collaboraction",1,"Chicago",2017-04-22
"341","Arts & Culture","The New York  - Fashion  Charity Events",6775,"New York City",2011-03-15
